"id","name","symbol","strategic","category","summary","uses","supply_stage","reference_year","top_suppliers","eu_import_reliance_pct","eol_recycling_input_rate_pct","substitution_index","eu_note","sources"
"helium","Helium","He","","energy-mineral","Extracted from natural gas, and irreplaceable for cryogenics. Once vented, it is gone.","MRI scanner cooling|Semiconductor manufacturing|Leak detection|Lifting gas","extraction","2023","United States::55|Qatar::30|Algeria::7","96","1","0.9","Poland's Odolanow plant is the only significant EU source.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"heavy-rare-earths","Heavy rare earth elements","HREE","x","rare-earth","Dysprosium, terbium, yttrium and the rest of the heavy group. Rarer and harder to separate than the light group.","High-temperature magnet additives (Dy, Tb)|Phosphors|Lasers|Nuclear control rods","separation","2023","China::100","100","0","0.93","Heavy rare earth separation is effectively a Chinese monopoly. Even ore mined elsewhere is usually separated in China.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"light-rare-earths","Light rare earth elements","LREE","x","rare-earth","Neodymium, praseodymium, lanthanum and cerium. Neodymium and praseodymium drive permanent magnet demand.","NdFeB permanent magnets|Electric vehicle traction motors|Wind turbine generators|Fluid cracking catalysts","separation","2023","China::85|Malaysia::9|Estonia::2","100","1","0.84","Estonia (Narva) and France (La Rochelle) operate the EU's only rare earth separation plants. Sweden's Per Geijer discovery is the largest known EU deposit.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"lithium","Lithium","Li","x","battery-metal","The defining battery metal. Australia and Chile dominate extraction; China dominates refining into battery-grade chemicals.","Li-ion battery cathodes and electrolytes|Ceramics and glass|Lubricating greases|Continuous casting fluxes","extraction","2023","Australia::52|Chile::25|China::13","100","0","0.9","Several EU mines and refineries are in construction or permitting. None is yet at full production, so the refining gap matters more than the mining gap.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"magnesium","Magnesium","Mg","x","light-metal","Used to alloy and lighten aluminium, and in die casting. Among the most concentrated supplies of any critical raw material.","Aluminium alloying|Die-cast automotive parts|Steel desulphurisation|Titanium production","refining","2023","China::89|United States::4|Russia::3","100","13","0.79","EU primary production ended in 2001. A Chinese supply interruption in 2021 briefly threatened to halt European aluminium alloy output altogether.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"manganese","Manganese","Mn","x","ferro-alloy","Indispensable to steelmaking, and increasingly to battery cathodes. Bulk supply is African.","Steel alloying and desulphurisation|Battery cathodes (NMC)|Aluminium alloys|Fertiliser micronutrient","extraction","2023","South Africa::36|Gabon::22|Australia::13","96","9","0.86","Battery-grade high-purity manganese sulphate is the strategic bottleneck, and is almost entirely Chinese.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"natural-graphite","Natural graphite","C","x","battery-metal","The standard anode material in lithium-ion cells. Chinese dominance runs from mining through to spherical graphite processing.","Li-ion battery anodes|Refractories|Foundry and crucibles|Lubricants","extraction","2023","China::65|Mozambique::13|Madagascar::8","98","3","0.89","Sweden holds Europe's most advanced graphite projects, but anode-grade processing is the harder gap to close than mining.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"nickel","Nickel","Ni","x","battery-metal","Stainless steel is the bulk market; battery-grade Class 1 nickel is the strategic concern. Indonesian output has reshaped the market.","Stainless steel|Li-ion battery cathodes|Superalloys|Electroplating","extraction","2023","Indonesia::50|Philippines::11|Russia::5","83","20","0.62","Finland is the EU's principal nickel refiner, and one of the few places in Europe producing battery-grade nickel chemicals.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"niobium","Niobium","Nb","","ferro-alloy","A micro-alloying element that makes high-strength low-alloy steel possible. Almost all of it comes from one country.","High-strength low-alloy steel|Superalloys|Superconducting magnets|Capacitors","extraction","2023","Brazil::92|Canada::8","100","0","0.7","Roughly nine tenths of world supply comes from a single Brazilian operation, a concentration unmatched elsewhere on this list.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"phosphate-rock","Phosphate rock","","","industrial-mineral","The raw material for phosphate fertiliser, and therefore for food production. Morocco holds most known reserves.","Mineral fertilisers|Animal feed supplements|Food-grade phosphates|LFP battery cathodes","extraction","2023","China::40|Morocco::17|United States::10","88","17","0.91","Finland's Siilinjarvi is the only phosphate rock mine in the EU.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"phosphorus","Phosphorus","P","","industrial-mineral","Elemental white phosphorus, a distinct product from phosphate rock, made by very few producers worldwide.","Flame retardants|Herbicides|Food and industrial phosphates|Battery electrolytes","refining","2023","Kazakhstan::71|Vietnam::18|China::9","100","0","0.91","The EU's last white phosphorus plant, at Vlissingen in the Netherlands, closed in 2012.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"pgm","Platinum group metals","PGM","x","precious-metal","Platinum, palladium, rhodium, iridium, ruthenium and osmium. South Africa and Russia between them hold most supply.","Autocatalysts|Hydrogen electrolysers and fuel cells|Chemical and refining catalysts|Electronics and glass","extraction","2023","South Africa::71|Russia::11|Zimbabwe::8","99","26","0.9","Recycling is unusually effective here. Belgium's Hoboken plant is among the largest platinum group metal recovery operations in the world.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"scandium","Scandium","Sc","","rare-earth","A very small market with outsized effect: scandium-aluminium alloys and solid oxide fuel cells.","Aluminium-scandium alloys|Solid oxide fuel cells|Aerospace components|Metal halide lighting","refining","2023","China::66|Russia::26|Ukraine::7","100","0","0.91","Usually recovered as a by-product of titanium or aluminium processing, which limits how fast supply can respond.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"silicon-metal","Silicon metal","Si","x","technology-metal","Metallurgical silicon: feedstock for silicones, aluminium alloys and, after purification, solar and semiconductor wafers.","Silicones|Aluminium alloys|Solar-grade polysilicon|Semiconductor wafers","refining","2023","China::76|Norway::5|Brazil::4","63","0","0.99","France, Spain and Germany retain furnaces, and Norway is the largest European producer outside the EU. Energy cost is the binding constraint.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"strontium","Strontium","Sr","","technology-metal","Celestite is the ore. Spain is the leading world producer, making this the EU's least import-dependent critical raw material.","Ceramic ferrite magnets|Pyrotechnics and flares|Zinc refining|Medical isotopes","extraction","2023","Spain::32|Iran::30|Mexico::13","0","0","0.94","Spain's Granada basin gives the EU a genuinely leading world position in one critical raw material.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"tantalum","Tantalum","Ta","","technology-metal","Used in the capacitors that make compact electronics possible. Central African supply carries well-documented conflict-financing risks.","Capacitors for electronics|Superalloys|Chemical process equipment|Surgical implants","extraction","2023","DR Congo::41|Rwanda::30|Brazil::10","99","0","0.94","Spain recovers small quantities of tantalum and niobium from tin tailings at Penouta, the EU's only meaningful source.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"titanium-metal","Titanium metal","Ti","x","light-metal","Titanium sponge and metal, distinct from titanium dioxide pigment. The EU has essentially no sponge capacity.","Aerospace airframes and engines|Medical implants|Chemical process plant|Desalination","refining","2023","China::52|Japan::22|Russia::13","100","19","0.91","The EU melts, forges and machines titanium but imports all of its sponge, leaving the upstream step entirely external.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"tungsten","Tungsten","W","x","technology-metal","The hardest workhorse in cutting tools, with the highest melting point of any metal. Europe retains real capacity here.","Cemented carbide cutting tools|Wear-resistant parts|Alloy steels|Electrodes and filaments","extraction","2023","China::84|Vietnam::4|Russia::3","32","42","0.94","Austria, Portugal and Spain mine tungsten, and Austria and Germany process it. One of the better-covered critical raw material chains in Europe.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
"vanadium","Vanadium","V","","ferro-alloy","A steel strengthener, and the electrolyte in the flow batteries increasingly proposed for long-duration grid storage.","High-strength steel|Vanadium redox flow batteries|Titanium alloys|Chemical catalysts","refining","2023","China::70|Russia::17|South Africa::8","100","2","0.68","Mostly recovered from steel slag and residues rather than mined directly, which ties supply to steel output.","EU Critical Raw Materials Act (Reg. 2024/1252)::https://eur-lex.europa.eu/eli/reg/2024/1252/oj|JRC Raw Materials Information System::https://rmis.jrc.ec.europa.eu/"
